antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'府尹', '正末'})","frozenset({'唱', '云'})",0.00041752735902957853,0.020876367951478927,0.000395552234870127,0.9473684210526315,45.37994459833794,1.0,0.0003868357800932163,18.60334900892188,0.9783723310445231,0.01892744479495268,0.9462462377327644,0.48315789473684206
"frozenset({'金', '御史'})",frozenset({'云'}),0.00041752735902957853,0.08634026282248494,0.000395552234870127,0.9473684210526315,10.972498693922386,1.0,0.00035950281295593514,17.359535006372766,0.9092426896085083,0.004580152671755725,0.9423947703879801,0.4759748697271302
"frozenset({'正旦', '甚'})",frozenset({'唱'}),0.0008350547180591571,0.09671252142574606,0.000791104469740254,0.9473684210526315,9.795716284576471,1.0,0.0007103442224282875,17.162462092910808,0.8986649951614323,0.008176243470361116,0.941733301749691,0.477774190076418
"frozenset({'也', '那', '正旦', '了'})",frozenset({'唱'}),0.00041752735902957853,0.09671252142574606,0.000395552234870127,0.9473684210526315,9.795716284576471,1.0,0.00035517211121414375,17.162462092910808,0.8982896212104557,0.004089050431621989,0.941733301749691,0.4757292003013669
"frozenset({'王', '府尹', '正末', '云'})",frozenset({'唱'}),0.00041752735902957853,0.09671252142574606,0.000395552234870127,0.9473684210526315,9.795716284576471,1.0,0.00035517211121414375,17.162462092910808,0.8982896212104557,0.004089050431621989,0.941733301749691,0.4757292003013669
"frozenset({'府尹', '正末', '王'})",frozenset({'唱'}),0.00041752735902957853,0.09671252142574606,0.000395552234870127,0.9473684210526315,9.795716284576471,1.0,0.00035517211121414375,17.162462092910808,0.8982896212104557,0.004089050431621989,0.941733301749691,0.4757292003013669
"frozenset({'府尹', '正末', '云'})",frozenset({'唱'}),0.00041752735902957853,0.09671252142574606,0.000395552234870127,0.9473684210526315,9.795716284576471,1.0,0.00035517211121414375,17.162462092910808,0.8982896212104557,0.004089050431621989,0.941733301749691,0.4757292003013669
"frozenset({'府尹', '正末'})",frozenset({'唱'}),0.00041752735902957853,0.09671252142574606,0.000395552234870127,0.9473684210526315,9.795716284576471,1.0,0.00035517211121414375,17.162462092910808,0.8982896212104557,0.004089050431621989,0.941733301749691,0.4757292003013669
"frozenset({'不', '正末', '我', '的'})",frozenset({'唱'}),0.00041752735902957853,0.09671252142574606,0.000395552234870127,0.9473684210526315,9.795716284576471,1.0,0.00035517211121414375,17.162462092910808,0.8982896212104557,0.004089050431621989,0.941733301749691,0.4757292003013669
"frozenset({'云', '正末', '王'})",frozenset({'唱'}),0.00041752735902957853,0.09671252142574606,0.000395552234870127,0.9473684210526315,9.795716284576471,1.0,0.00035517211121414375,17.162462092910808,0.8982896212104557,0.004089050431621989,0.941733301749691,0.4757292003013669
